n_variables	n_samples	real_entropy	real_o_information	npeet_entropy	gcmi_entropy	o_info_npeet	o_info_gcmi
3	10	-1.9955535746306374	-0.02140565554253193	-2.501653890393528	3.426639844020234	-0.46286221495896296	-1.131592823574871
3	15	-1.9955535746306374	-0.02140565554253193	-3.4203031442855685	4.5290477421293796	-0.08865872626068994	-0.5508283723599989
3	100	-1.9955535746306374	-0.02140565554253193	-4.347004175818428	3.753228871804972	-1.1996461240459118	-1.6378306450704612
3	150	-1.9955535746306374	-0.02140565554253193	-4.5135399103917155	3.911422824748558	-1.253012551823102	-1.5182631838107947
3	1000	-1.9955535746306374	-0.02140565554253193	-5.5427977258969925	3.405067473991986	-2.332170271556633	-2.0333345427544494
3	1500	-1.9955535746306374	-0.02140565554253193	-5.70055038901045	3.4298462038431667	-2.4719506711231407	-2.0284910444083293
3	10000	-1.9955535746306374	-0.02140565554253193	-6.727682718203132	3.34838635557888	-3.42622361009097	-2.1138345956422735
3	15000	-1.9955535746306374	-0.02140565554253193	-6.911966964458305	3.392016407370691	-3.6223292640272273	-2.0740859479658633
3	100000	-1.9955535746306374	-0.02140565554253193	-7.857229143389063	3.35898974080772	-4.584675789271593	-2.1094188819205866
3	150000	-1.9955535746306374	-0.02140565554253193	-8.059077145047144	3.365555004157884	-4.800877200970099	-2.1010253064601003
3	1000000	-1.9955535746306374	-0.02140565554253193	-9.009710930782054	3.36123419096774	-5.73972411466826	-2.104575590820077
3	1500000	-1.9955535746306374	-0.02140565554253193	-9.210840168436787	3.368148871555081	-5.9461081458729215	-2.0978643140924333
3	10	-1.312553395814395	-0.3709032435836357	-2.574772942178636	4.103473117793401	-0.06703592692720717	-0.72860089933579
3	15	-1.312553395814395	-0.3709032435836357	-2.1585928790880806	4.444308097933945	-0.6045093364921321	-0.8838803719402373
3	100	-1.312553395814395	-0.3709032435836357	-3.339680830477077	3.7003875650072344	-1.2451170229251618	-1.706329189113037
3	150	-1.312553395814395	-0.3709032435836357	-3.5910243994786786	4.308376556120373	-1.2647613343607675	-1.1667693381445412
3	1000	-1.312553395814395	-0.3709032435836357	-4.505601985210912	3.740981797635404	-2.3542556650349518	-1.718627244228927
3	1500	-1.312553395814395	-0.3709032435836357	-4.724746754043281	3.9455864181138325	-2.4902076691432375	-1.5517105836790042
3	10000	-1.312553395814395	-0.3709032435836357	-5.660689256725901	3.881006575119374	-3.4107126633205063	-1.6228524216914244
3	15000	-1.312553395814395	-0.3709032435836357	-5.90008701491692	3.890567691498765	-3.6221751368834862	-1.6054971130820448
3	100000	-1.312553395814395	-0.3709032435836357	-6.82229742262253	3.899440116858845	-4.56510146871253	-1.60107286583998
3	150000	-1.312553395814395	-0.3709032435836357	-7.036591587047901	3.8954498069007326	-4.759214531475877	-1.6073413041410736
3	1000000	-1.312553395814395	-0.3709032435836357	-7.984060857175622	3.896939336658415	-5.703233722322704	-1.605318519400576
3	1500000	-1.312553395814395	-0.3709032435836357	-8.18649639322089	3.897502967450625	-5.9087727489932185	-1.604846717215462
3	10	-1.9482503809123628	-0.2333174038109307	-2.853567973481457	4.052672738831058	0.1929609717129006	-0.962613444958631
3	15	-1.9482503809123628	-0.2333174038109307	-3.3495412714380195	4.514718767716695	0.01617273036498501	-0.7895968273881522
3	100	-1.9482503809123628	-0.2333174038109307	-4.3843672014966995	3.869921049684765	-1.0838966399709467	-1.399111480442993
3	150	-1.9482503809123628	-0.2333174038109307	-4.441525220351602	3.901845622041126	-1.157116576895442	-1.308512862698059
3	1000	-1.9482503809123628	-0.2333174038109307	-5.533046674727686	4.072624105732086	-2.1071220744084185	-1.3689286654743738
