n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3	GCMI	0.05107313789584293	0.1	0.1	0.1
X1-X2-X3	NPEET	0.0570480317230464	0.1	0.1	0.1
X1-X2-X3	THOI	0.04117727279663086	0.1	0.1	0.1
X1-X2-X3-X4	GCMI	0.13951322904285668	0.1	0.1	0.1
X1-X2-X3-X4	NPEET	0.2063537621447086	0.1	0.1	0.1
X1-X2-X3-X4	THOI	0.13818368911743165	0.1	0.1	0.1
X1-X2-X3-X4-X5	GCMI	0.3532390744978297	0.1	0.1	0.1
X1-X2-X3-X4-X5	NPEET	0.5443803320907279	0.1	0.1	0.1
X1-X2-X3-X4-X5	THOI	0.32698631286621094	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.4592122940749931	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	NPEET	0.8106931835391571	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	THOI	0.4047708511352539	0.1	0.1	0.1
X1-X2-X3	GCMI	0.007357313354573215	0.1	0.1	0.2
X1-X2-X3	NPEET	-0.002387448944920678	0.1	0.1	0.2
X1-X2-X3	THOI	0.005217456817626953	0.1	0.1	0.2
X1-X2-X3-X4	GCMI	0.03733483183435542	0.1	0.1	0.2
X1-X2-X3-X4	NPEET	0.016570483915445442	0.1	0.1	0.2
X1-X2-X3-X4	THOI	0.02578125	0.1	0.1	0.2
X1-X2-X3-X4-X5	GCMI	0.08068210030978687	0.1	0.1	0.2
X1-X2-X3-X4-X5	NPEET	0.10704864406351813	0.1	0.1	0.2
X1-X2-X3-X4-X5	THOI	0.05811090469360351	0.1	0.1	0.2
X1-X2-X3-X4-X5-X6	GCMI	0.09700528353255553	0.1	0.1	0.2
X1-X2-X3-X4-X5-X6	NPEET	0.15455875558818347	0.1	0.1	0.2
X1-X2-X3-X4-X5-X6	THOI	0.07147026062011719	0.1	0.1	0.2
X1-X2-X3	GCMI	0.0012729612036511905	0.1	0.1	0.30000000000000004
X1-X2-X3	NPEET	-0.008252805032681776	0.1	0.1	0.30000000000000004
X1-X2-X3	THOI	0.0008899688720703125	0.1	0.1	0.30000000000000004
X1-X2-X3-X4	GCMI	0.008597884525136568	0.1	0.1	0.30000000000000004
X1-X2-X3-X4	NPEET	-0.01888007745253013	0.1	0.1	0.30000000000000004
X1-X2-X3-X4	THOI	0.005656909942626953	0.1	0.1	0.30000000000000004
X1-X2-X3-X4-X5	GCMI	0.017925478529675232	0.1	0.1	0.30000000000000004
