n-plet	method	O-information	alpha	beta
X1-X2-X3-X6	GCMI	0.00015208395267904962	0.1	0.1
X1-X2-X3-X6	NPEET	-0.015043622850577521	0.1	0.1
X1-X2-X3-X6	THOI	0.00010623931884765626	0.1	0.1
X1-X4-X5-X6	GCMI	-1.7691018356913445e-07	0.1	0.1
X1-X4-X5-X6	NPEET	0.5150708742192197	0.1	0.1
X1-X4-X5-X6	THOI	8.58306884765625e-07	0.1	0.1
X2-X3-X6	GCMI	0.00015243791689254494	0.1	0.1
X2-X3-X6	NPEET	-0.0019931992569606647	0.1	0.1
X2-X3-X6	THOI	0.00010585784912109375	0.1	0.1
X4-X5-X6	GCMI	-1.3846929647343132e-08	0.1	0.1
X4-X5-X6	NPEET	0.29789024101142764	0.1	0.1
X4-X5-X6	THOI	-1.9073486328125e-07	0.1	0.1
X1-X2-X3-X6	GCMI	0.0008494273513683481	0.1	0.2
X1-X2-X3-X6	NPEET	-0.01499719078707642	0.1	0.2
X1-X2-X3-X6	THOI	0.0005816459655761719	0.1	0.2
X1-X4-X5-X6	GCMI	2.4100535256366128e-08	0.1	0.2
X1-X4-X5-X6	NPEET	0.5136138337141908	0.1	0.2
X1-X4-X5-X6	THOI	-9.5367431640625e-08	0.1	0.2
X2-X3-X6	GCMI	0.0008371652732257929	0.1	0.2
X2-X3-X6	NPEET	0.008388704015861493	0.1	0.2
X2-X3-X6	THOI	0.0005722999572753906	0.1	0.2
X4-X5-X6	GCMI	-1.124211706837741e-07	0.1	0.2
X4-X5-X6	NPEET	0.29542595683662165	0.1	0.2
X4-X5-X6	THOI	-5.7220458984375e-07	0.1	0.2
X1-X2-X3-X6	GCMI	0.0015825564968501738	0.1	0.30000000000000004
X1-X2-X3-X6	NPEET	-0.030674823696046617	0.1	0.30000000000000004
X1-X2-X3-X6	THOI	0.001099872589111328	0.1	0.30000000000000004
X1-X4-X5-X6	GCMI	-2.3142183124491567e-06	0.1	0.30000000000000004
X1-X4-X5-X6	NPEET	0.5304913029878626	0.1	0.30000000000000004
X1-X4-X5-X6	THOI	-6.008148193359375e-06	0.1	0.30000000000000004
X2-X3-X6	GCMI	0.0015907429347445045	0.1	0.30000000000000004
X2-X3-X6	NPEET	-0.014533954187677089	0.1	0.30000000000000004
X2-X3-X6	THOI	0.001105022430419922	0.1	0.30000000000000004
X4-X5-X6	GCMI	-3.369347565396197e-07	0.1	0.30000000000000004
X4-X5-X6	NPEET	0.3208766985664221	0.1	0.30000000000000004
X4-X5-X6	THOI	-4.863739013671875e-06	0.1	0.30000000000000004
X1-X2-X3-X6	GCMI	0.0031303573745439907	0.1	0.4
