n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3	GCMI	0.059060029883534024	0.1	0.1	0.1
X1-X2-X3	NPEET	0.026923544286814493	0.1	0.1	0.1
X1-X2-X3	THOI	0.04093723297119141	0.1	0.1	0.1
X1-X2-X3-X4	GCMI	0.19425067533789991	0.1	0.1	0.1
X1-X2-X3-X4	NPEET	0.1292091425034613	0.1	0.1	0.1
X1-X2-X3-X4	THOI	0.13464419841766356	0.1	0.1	0.1
X1-X2-X3-X4-X5	GCMI	0.46128392735011536	0.1	0.1	0.1
X1-X2-X3-X4-X5	NPEET	0.36216941280584625	0.1	0.1	0.1
X1-X2-X3-X4-X5	THOI	0.3197362184524536	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.5678747810380902	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	NPEET	0.54137039401507	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	THOI	0.3936225175857544	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	GCMI	0.1881046377432341	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	NPEET	0.3137884469028297	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	THOI	0.13038272857666017	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	0.5075233169565134	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	0.8501236446482737	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.351790189743042	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	0.8542208640641679	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	1.2789572989585969	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	0.5920998573303222	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	1.0905312691564135	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	1.7244863725399757	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	0.7558950901031494	0.1	0.1	0.1
X1-X2-X3	GCMI	0.3410285246412614	0.1	0.2	0.1
X1-X2-X3	NPEET	0.24678893614384007	0.1	0.2	0.1
