n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3	GCMI	0.050889077807332594	0.1	0.1	0.1
X1-X2-X3	NPEET	0.05430362261301473	0.1	0.1	0.1
X1-X2-X3	THOI	0.04066390991210937	0.1	0.1	0.1
X1-X2-X3-X4	GCMI	0.13664613632983952	0.1	0.1	0.1
X1-X2-X3-X4	NPEET	0.1902743965038669	0.1	0.1	0.1
X1-X2-X3-X4	THOI	0.13433990478515626	0.1	0.1	0.1
X1-X2-X3-X4-X5	GCMI	0.35125481062934816	0.1	0.1	0.1
X1-X2-X3-X4-X5	NPEET	0.5414087426584149	0.1	0.1	0.1
X1-X2-X3-X4-X5	THOI	0.3199842214584351	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	GCMI	0.4529538865809302	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	NPEET	0.7882214685992747	0.1	0.1	0.1
X1-X2-X3-X4-X5-X6	THOI	0.39486443996429443	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	GCMI	0.15867945070158704	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	NPEET	0.4577060264006671	0.1	0.1	0.1
Z00-Z01-X1-X2-X3	THOI	0.13067119121551513	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	0.3754340478757171	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	1.217751469294703	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4	THOI	0.35158233642578124	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	0.6645408305340533	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	1.8585881232490742	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	0.5927779197692871	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	0.9172778925942534	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	2.5127679023116976	0.1	0.1	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	0.7582894802093506	0.1	0.1	0.1
X1-X2-X3	GCMI	0.3203941245431766	0.1	0.2	0.1
X1-X2-X3	NPEET	0.3369230427156728	0.1	0.2	0.1
X1-X2-X3	THOI	0.23295446634292602	0.1	0.2	0.1
X1-X2-X3-X4	GCMI	0.67332482844149	0.1	0.2	0.1
X1-X2-X3-X4	NPEET	0.8339814313450417	0.1	0.2	0.1
X1-X2-X3-X4	THOI	0.5563173294067383	0.1	0.2	0.1
X1-X2-X3-X4-X5	GCMI	1.3294388826049293	0.1	0.2	0.1
X1-X2-X3-X4-X5	NPEET	1.669956471041536	0.1	0.2	0.1
X1-X2-X3-X4-X5	THOI	1.0520105838775635	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	GCMI	1.8888184403818833	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	NPEET	2.45786700240263	0.1	0.2	0.1
X1-X2-X3-X4-X5-X6	THOI	1.4415337324142456	0.1	0.2	0.1
Z00-Z01-X1-X2-X3	GCMI	0.901622694781121	0.1	0.2	0.1
Z00-Z01-X1-X2-X3	NPEET	1.2190602262554888	0.1	0.2	0.1
Z00-Z01-X1-X2-X3	THOI	0.6497899770736695	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4	GCMI	1.3869020703253103	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4	NPEET	2.3847431426923267	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4	THOI	1.0918111324310302	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	GCMI	2.2022919862768884	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	NPEET	3.5759648903127457	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5	THOI	1.6910597562789917	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	GCMI	3.0354578247775788	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	NPEET	4.807865820634267	0.1	0.2	0.1
Z00-Z01-X1-X2-X3-X4-X5-X6	THOI	2.2635748624801635	0.1	0.2	0.1
X1-X2-X3	GCMI	0.6571798832973762	0.1	0.3	0.1
X1-X2-X3	NPEET	0.6774927969461471	0.1	0.3	0.1
X1-X2-X3	THOI	0.4634956121444702	0.1	0.3	0.1
X1-X2-X3-X4	GCMI	1.3102498752469995	0.1	0.3	0.1
