n-plet	method	O-information	alpha	beta	gamma
X1-X2-X3	JDIT	0.047546312312052266	0.1	0.1	0.10000000149011612
X1-X2-X3-X4	JDIT	0.14365808929954113	0.1	0.1	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	0.3358561732431623	0.1	0.1	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	0.4196657957046619	0.1	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.04754624408799449	0.1	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.14365715171367496	0.1	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	0.6379100146488194	0.1	0.1	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	1.107790058365906	0.1	0.1	0.10000000149011612
X1-X2-X3	JDIT	0.22475427628774555	0.1	0.2	0.10000000149011612
X1-X2-X3-X4	JDIT	0.5490413294921186	0.1	0.2	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.0570473947717178	0.1	0.2	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	1.4564371592254328	0.1	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.22475457599676604	0.1	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	0.5490413624832371	0.1	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	1.2370448436735255	0.1	0.2	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	2.62248994863607	0.1	0.2	0.10000000149011612
X1-X2-X3	JDIT	0.4524634815044381	0.1	0.3	0.10000000149011612
X1-X2-X3-X4	JDIT	1.0103591692544316	0.1	0.3	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	1.8199952911034298	0.1	0.3	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	2.5211391538716605	0.1	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.4524638591068849	0.1	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.0103591451538305	0.1	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	1.9436692476199866	0.1	0.3	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	4.023327076081586	0.1	0.3	0.10000000149011612
X1-X2-X3	JDIT	0.6661876142492003	0.1	0.4	0.10000000149011612
X1-X2-X3-X4	JDIT	1.431254775527595	0.1	0.4	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	2.485498086966977	0.1	0.4	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	3.4362905814306393	0.1	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.6661875105467716	0.1	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.4312546641751251	0.1	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	2.585581595901641	0.1	0.4	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	5.1823835748394265	0.1	0.4	0.10000000149011612
X1-X2-X3	JDIT	0.855450801230645	0.1	0.5	0.10000000149011612
X1-X2-X3-X4	JDIT	1.8025461793254003	0.1	0.5	0.10000000149011612
X1-X2-X3-X4-X5	JDIT	3.050492516792484	0.1	0.5	0.10000000149011612
X1-X2-X3-X4-X5-X6	JDIT	4.201036316547839	0.1	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3	JDIT	0.8554521407743427	0.1	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4	JDIT	1.8025468115535943	0.1	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5	JDIT	3.1230349826130688	0.1	0.5	0.10000000149011612
Z00-Z01-X1-X2-X3-X4-X5-X6	JDIT	6.122660533838818	0.1	0.5	0.10000000149011612
X1-X2-X3	JDIT	1.0180038269077438	0.1	0.6	0.10000000149011612
X1-X2-X3-X4	JDIT	2.1307272171444818	0.1	0.6	0.10000000149011612
