n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JIDT	0.01	0.99	3.987536817681472
X1-X2-Z_syn	JIDT	0.01	0.99	0.06467821593103026
X1-X2-Z_red	JIDT	0.01	0.99	2.5583979379462105E-17
X1-Z_red-Z_syn	JIDT	0.01	0.99	-3.992361996552063E-18
X2-Z_red-Z_syn	JIDT	0.01	0.99	0.0
X1-X2-Z_syn-Z_red	JIDT	0.1	0.9	2.7015939098898007
X1-X2-Z_syn	JIDT	0.1	0.9	-0.6498550934488525
X1-X2-Z_red	JIDT	0.1	0.9	1.304734098539484E-17
X1-Z_red-Z_syn	JIDT	0.1	0.9	-1.461053500406706E-18
X2-Z_red-Z_syn	JIDT	0.1	0.9	0.0
X1-X2-Z_syn-Z_red	JIDT	0.2	0.8	1.947202198238156
X1-X2-Z_syn	JIDT	0.2	0.8	-1.2943331339357207
X1-X2-Z_red	JIDT	0.2	0.8	2.0943247136528953E-17
X1-Z_red-Z_syn	JIDT	0.2	0.8	-2.8288482667448984E-18
X2-Z_red-Z_syn	JIDT	0.2	0.8	0.0
X1-X2-Z_syn-Z_red	JIDT	0.3	0.7	1.449060194500777
X1-X2-Z_syn	JIDT	0.3	0.7	-1.7311511481409165
X1-X2-Z_red	JIDT	0.3	0.7	1.4059864383852983E-17
X1-Z_red-Z_syn	JIDT	0.3	0.7	-1.3189449532546858E-18
X2-Z_red-Z_syn	JIDT	0.3	0.7	0.0
X1-X2-Z_syn-Z_red	JIDT	0.4	0.6	1.059311450365759
X1-X2-Z_syn	JIDT	0.4	0.6	-2.0477434889589032
X1-X2-Z_red	JIDT	0.4	0.6	5.333511410299252E-18
X1-Z_red-Z_syn	JIDT	0.4	0.6	-1.8918200339612663E-18
X2-Z_red-Z_syn	JIDT	0.4	0.6	0.0
X1-X2-Z_syn-Z_red	JIDT	0.5	0.5	0.7564549884481856
X1-X2-Z_syn	JIDT	0.5	0.5	-2.257219190455221
X1-X2-Z_red	JIDT	0.5	0.5	8.260059303211165E-19
X1-Z_red-Z_syn	JIDT	0.5	0.5	-5.502265310042276E-18
X2-Z_red-Z_syn	JIDT	0.5	0.5	0.0
X1-X2-Z_syn-Z_red	JIDT	0.6	0.4	0.5326334910237799
X1-X2-Z_syn	JIDT	0.6	0.4	-2.3615930237949407
X1-X2-Z_red	JIDT	0.6	0.4	-3.7303493627405265E-18
X1-Z_red-Z_syn	JIDT	0.6	0.4	-4.654054919228656E-18
X2-Z_red-Z_syn	JIDT	0.6	0.4	0.0
X1-X2-Z_syn-Z_red	JIDT	0.7	0.3	0.42627177685077394
X1-X2-Z_syn	JIDT	0.7	0.3	-2.335447539204576
X1-X2-Z_red	JIDT	0.7	0.3	-5.120348589571222E-18
X1-Z_red-Z_syn	JIDT	0.7	0.3	-4.1033842990145786E-18
X2-Z_red-Z_syn	JIDT	0.7	0.3	0.0
X1-X2-Z_syn-Z_red	JIDT	0.8	0.2	0.45904394661603254
X1-X2-Z_syn	JIDT	0.8	0.2	-2.1387840291692615
X1-X2-Z_red	JIDT	0.8	0.2	-1.9806378759312795E-18
X1-Z_red-Z_syn	JIDT	0.8	0.2	-3.415046023746982E-18
X2-Z_red-Z_syn	JIDT	0.8	0.2	0.0
X1-X2-Z_syn-Z_red	JIDT	0.9	0.1	0.5656276651980515
X1-X2-Z_syn	JIDT	0.9	0.1	-1.6832237505105592
X1-X2-Z_red	JIDT	0.9	0.1	1.2434497875801751E-18
X1-Z_red-Z_syn	JIDT	0.9	0.1	2.9043434324194094E-18
X2-Z_red-Z_syn	JIDT	0.9	0.1	0.0
X1-X2-Z_syn-Z_red	JIDT	1.0	0.0	0.7559182724330766
X1-X2-Z_syn	JIDT	1.0	0.0	0.6903013489285239
X1-X2-Z_red	JIDT	1.0	0.0	-8.881784197001253E-21
X1-Z_red-Z_syn	JIDT	1.0	0.0	-5.3632653873592063E-17
X2-Z_red-Z_syn	JIDT	1.0	0.0	0.0
