n-plet	method	O-information	alpha	beta
Z_syn-Z_red-X1-X2	GCMI	-0.15472474113133897	0.01	0.01
Z_syn-Z_red-X1-X2	NPEET	5.424465994311923	0.01	0.01
Z_syn-Z_red-X1-X2	THOI	-0.10724736452102661	0.01	0.01
Z_syn-Z_red-X1-X2	GCMI	0.6366865755684749	0.01	0.02
Z_syn-Z_red-X1-X2	NPEET	5.620629252847382	0.01	0.02
Z_syn-Z_red-X1-X2	THOI	0.44131615161895754	0.01	0.02
Z_syn-Z_red-X1-X2	GCMI	1.1894033250085123	0.01	0.03
Z_syn-Z_red-X1-X2	NPEET	5.789289416624749	0.01	0.03
Z_syn-Z_red-X1-X2	THOI	0.8244364738464356	0.01	0.03
Z_syn-Z_red-X1-X2	GCMI	1.6036303716183635	0.01	0.04
Z_syn-Z_red-X1-X2	NPEET	5.921777173113638	0.01	0.04
Z_syn-Z_red-X1-X2	THOI	1.1115670204162598	0.01	0.04
Z_syn-Z_red-X1-X2	GCMI	1.9482857401080558	0.01	0.05
Z_syn-Z_red-X1-X2	NPEET	6.031919650696892	0.01	0.05
Z_syn-Z_red-X1-X2	THOI	1.3504247188568115	0.01	0.05
Z_syn-Z_red-X1-X2	GCMI	2.2108914356462863	0.01	0.06
Z_syn-Z_red-X1-X2	NPEET	6.116460807394048	0.01	0.06
Z_syn-Z_red-X1-X2	THOI	1.532409954071045	0.01	0.06
Z_syn-Z_red-X1-X2	GCMI	2.444440018367748	0.01	0.07
Z_syn-Z_red-X1-X2	NPEET	6.1822971253801455	0.01	0.07
Z_syn-Z_red-X1-X2	THOI	1.694377326965332	0.01	0.07
Z_syn-Z_red-X1-X2	GCMI	2.6550665611828856	0.01	0.08
Z_syn-Z_red-X1-X2	NPEET	6.251102410888112	0.01	0.08
Z_syn-Z_red-X1-X2	THOI	1.8403926849365235	0.01	0.08
Z_syn-Z_red-X1-X2	GCMI	2.8297534747083137	0.01	0.09
Z_syn-Z_red-X1-X2	NPEET	6.315828373163383	0.01	0.09
Z_syn-Z_red-X1-X2	THOI	1.9614446878433227	0.01	0.09
Z_syn-Z_red-X1-X2	GCMI	3.003077287381072	0.01	0.1
Z_syn-Z_red-X1-X2	NPEET	6.362569816020257	0.01	0.1
Z_syn-Z_red-X1-X2	THOI	2.081547164916992	0.01	0.1
Z_syn-Z_red-X1-X2	GCMI	4.08759980361482	0.01	0.2
Z_syn-Z_red-X1-X2	NPEET	6.703685418418273	0.01	0.2
Z_syn-Z_red-X1-X2	THOI	2.8331671953201294	0.01	0.2
Z_syn-Z_red-X1-X2	GCMI	4.768013292205169	0.01	0.3
