n-plet	method	O-information	alpha	beta
Z_syn-Z_red-X1-X2	GCMI	-0.15919545823169176	0.01	0.01
Z_syn-Z_red-X1-X2	NPEET	7.8435663383396275	0.01	0.01
Z_syn-Z_red-X1-X2	THOI	-0.11034640073776245	0.01	0.01
Z_syn-Z_red-X1-X2	GCMI	0.6378182566586001	0.01	0.02
Z_syn-Z_red-X1-X2	NPEET	8.108223763854147	0.01	0.02
Z_syn-Z_red-X1-X2	THOI	0.4420977830886841	0.01	0.02
Z_syn-Z_red-X1-X2	GCMI	1.2057210638677174	0.01	0.03
Z_syn-Z_red-X1-X2	NPEET	8.354385792993003	0.01	0.03
Z_syn-Z_red-X1-X2	THOI	0.8357362508773803	0.01	0.03
Z_syn-Z_red-X1-X2	GCMI	1.5951448683126404	0.01	0.04
Z_syn-Z_red-X1-X2	NPEET	8.52113662795981	0.01	0.04
Z_syn-Z_red-X1-X2	THOI	1.105659294128418	0.01	0.04
Z_syn-Z_red-X1-X2	GCMI	1.9308896916592986	0.01	0.05
Z_syn-Z_red-X1-X2	NPEET	8.679299657295457	0.01	0.05
Z_syn-Z_red-X1-X2	THOI	1.3383646249771117	0.01	0.05
Z_syn-Z_red-X1-X2	GCMI	2.21641065666224	0.01	0.06
Z_syn-Z_red-X1-X2	NPEET	8.828668913093521	0.01	0.06
Z_syn-Z_red-X1-X2	THOI	1.536289596557617	0.01	0.06
Z_syn-Z_red-X1-X2	GCMI	2.4424813283834217	0.01	0.07
Z_syn-Z_red-X1-X2	NPEET	8.923353117847082	0.01	0.07
Z_syn-Z_red-X1-X2	THOI	1.6930243492126464	0.01	0.07
Z_syn-Z_red-X1-X2	GCMI	2.6435884650603088	0.01	0.08
Z_syn-Z_red-X1-X2	NPEET	9.016463716354533	0.01	0.08
Z_syn-Z_red-X1-X2	THOI	1.8323188304901123	0.01	0.08
Z_syn-Z_red-X1-X2	GCMI	2.8348065122514776	0.01	0.09
Z_syn-Z_red-X1-X2	NPEET	9.098548220282959	0.01	0.09
Z_syn-Z_red-X1-X2	THOI	1.9648969650268555	0.01	0.09
Z_syn-Z_red-X1-X2	GCMI	3.001595240137438	0.01	0.1
Z_syn-Z_red-X1-X2	NPEET	9.176968787043077	0.01	0.1
Z_syn-Z_red-X1-X2	THOI	2.0804271936416625	0.01	0.1
Z_syn-Z_red-X1-X2	GCMI	4.075332825770875	0.01	0.2
Z_syn-Z_red-X1-X2	NPEET	9.661863619160602	0.01	0.2
Z_syn-Z_red-X1-X2	THOI	2.824731397628784	0.01	0.2
Z_syn-Z_red-X1-X2	GCMI	4.808565143638562	0.01	0.3
Z_syn-Z_red-X1-X2	NPEET	9.951302535571953	0.01	0.3
Z_syn-Z_red-X1-X2	THOI	3.3322219133377073	0.01	0.3
Z_syn-Z_red-X1-X2	GCMI	5.2476868763832	0.01	0.4
Z_syn-Z_red-X1-X2	NPEET	10.156002592328614	0.01	0.4
Z_syn-Z_red-X1-X2	THOI	3.636828136444092	0.01	0.4
Z_syn-Z_red-X1-X2	GCMI	5.6287684863661065	0.01	0.5
Z_syn-Z_red-X1-X2	NPEET	10.315252296614144	0.01	0.5
Z_syn-Z_red-X1-X2	THOI	3.9012229204177857	0.01	0.5
Z_syn-Z_red-X1-X2	GCMI	5.943015756102118	0.01	0.6
Z_syn-Z_red-X1-X2	NPEET	10.45204562929101	0.01	0.6
Z_syn-Z_red-X1-X2	THOI	4.118662261962891	0.01	0.6
Z_syn-Z_red-X1-X2	GCMI	6.187255738497781	0.01	0.7
Z_syn-Z_red-X1-X2	NPEET	10.554240397404197	0.01	0.7
Z_syn-Z_red-X1-X2	THOI	4.288908004760742	0.01	0.7
Z_syn-Z_red-X1-X2	GCMI	6.4179409895744	0.01	0.8
Z_syn-Z_red-X1-X2	NPEET	10.65939883129105	0.01	0.8
Z_syn-Z_red-X1-X2	THOI	4.447080469131469	0.01	0.8
Z_syn-Z_red-X1-X2	GCMI	6.64216139057847	0.01	0.9
Z_syn-Z_red-X1-X2	NPEET	10.735799820853302	0.01	0.9
Z_syn-Z_red-X1-X2	THOI	4.6049683570861815	0.01	0.9
Z_syn-Z_red-X1-X2	GCMI	6.642428371816048	0.01	0.91
Z_syn-Z_red-X1-X2	NPEET	10.73943452195593	0.01	0.91
Z_syn-Z_red-X1-X2	THOI	4.6024538516998295	0.01	0.91
Z_syn-Z_red-X1-X2	GCMI	6.669448008884101	0.01	0.92
Z_syn-Z_red-X1-X2	NPEET	10.74941692507075	0.01	0.92
Z_syn-Z_red-X1-X2	THOI	4.621263551712036	0.01	0.92
Z_syn-Z_red-X1-X2	GCMI	6.698753181063123	0.01	0.93
Z_syn-Z_red-X1-X2	NPEET	10.772299153765648	0.01	0.93
Z_syn-Z_red-X1-X2	THOI	4.642722129821777	0.01	0.93
Z_syn-Z_red-X1-X2	GCMI	6.684940049013891	0.01	0.94
Z_syn-Z_red-X1-X2	NPEET	10.766289864773295	0.01	0.94
Z_syn-Z_red-X1-X2	THOI	4.633111000061035	0.01	0.94
Z_syn-Z_red-X1-X2	GCMI	6.73868176128376	0.01	0.95
Z_syn-Z_red-X1-X2	NPEET	10.773554648448009	0.01	0.95
Z_syn-Z_red-X1-X2	THOI	4.667264556884765	0.01	0.95
Z_syn-Z_red-X1-X2	GCMI	6.729678467979778	0.01	0.96
Z_syn-Z_red-X1-X2	NPEET	10.77830715789787	0.01	0.96
Z_syn-Z_red-X1-X2	THOI	4.659916877746582	0.01	0.96
Z_syn-Z_red-X1-X2	GCMI	6.740485315455098	0.01	0.97
