n-plet	method	O-information	alpha	beta
X1-X2-Z_red	THOI	6.435387513189461	0.01	0.99
X1-X2-Z_syn	THOI	-0.00016358804964968776	0.01	0.99
X1-X2-Z_syn-Z_red	THOI	6.263104619285642	0.01	0.99
X1-Z_red-Z_syn	THOI	-0.4461677354908419	0.01	0.99
X2-Z_red-Z_syn	THOI	-0.44255301097460864	0.01	0.99
X1-X2-Z_red	THOI	4.230644332841481	0.1	0.9
X1-X2-Z_syn	THOI	-0.00013367047086179084	0.1	0.9
X1-X2-Z_syn-Z_red	THOI	3.3006425414449323	0.1	0.9
X1-Z_red-Z_syn	THOI	-1.0041123275691681	0.1	0.9
X2-Z_red-Z_syn	THOI	-1.0032797784979561	0.1	0.9
X1-X2-Z_red	THOI	3.436635727839655	0.2	0.8
X1-X2-Z_syn	THOI	0.00014545386802411464	0.2	0.8
X1-X2-Z_syn-Z_red	THOI	1.9893363645281663	0.2	0.8
X1-Z_red-Z_syn	THOI	-1.1119126318187167	0.2	0.8
X2-Z_red-Z_syn	THOI	-1.1153703091245155	0.2	0.8
X1-X2-Z_red	THOI	2.9058637275426635	0.3	0.7
X1-X2-Z_syn	THOI	0.0012428116451415506	0.3	0.7
X1-X2-Z_syn-Z_red	THOI	1.1123681660632818	0.3	0.7
X1-Z_red-Z_syn	THOI	-1.1564530033777358	0.3	0.7
X2-Z_red-Z_syn	THOI	-1.1528884818273315	0.3	0.7
X1-X2-Z_red	THOI	2.466743810449509	0.4	0.6
X1-X2-Z_syn	THOI	0.0027935931683269245	0.4	0.6
X1-X2-Z_syn-Z_red	THOI	0.3741489694008424	0.4	0.6
X1-Z_red-Z_syn	THOI	-1.170009485400503	0.4	0.6
X2-Z_red-Z_syn	THOI	-1.1767720253230132	0.4	0.6
X1-X2-Z_red	THOI	2.0676466480927003	0.5	0.5
X1-X2-Z_syn	THOI	0.006434118422079371	0.5	0.5
X1-X2-Z_syn-Z_red	THOI	-0.31060455593718717	0.5	0.5
X1-Z_red-Z_syn	THOI	-1.190775068344379	0.5	0.5
X2-Z_red-Z_syn	THOI	-1.189526877916968	0.5	0.5
X1-X2-Z_red	THOI	1.6805202199381455	0.6	0.4
X1-X2-Z_syn	THOI	0.014826742335464526	0.6	0.4
X1-X2-Z_syn-Z_red	THOI	-0.9235290410824053	0.6	0.4
X1-Z_red-Z_syn	THOI	-1.1875266853226187	0.6	0.4
X2-Z_red-Z_syn	THOI	-1.2020446636103657	0.6	0.4
X1-X2-Z_red	THOI	1.2592030392612645	0.7	0.30000000000000004
X1-X2-Z_syn	THOI	0.034801901586561025	0.7	0.30000000000000004
X1-X2-Z_syn-Z_red	THOI	-1.5483805568075348	0.7	0.30000000000000004
X1-Z_red-Z_syn	THOI	-1.1749489670654865	0.7	0.30000000000000004
X2-Z_red-Z_syn	THOI	-1.187777203765074	0.7	0.30000000000000004
X1-X2-Z_red	THOI	0.802475843601832	0.8	0.19999999999999996
X1-X2-Z_syn	THOI	0.0938689125202536	0.8	0.19999999999999996
X1-X2-Z_syn-Z_red	THOI	-2.259257456888332	0.8	0.19999999999999996
X1-Z_red-Z_syn	THOI	-1.1448115300301833	0.8	0.19999999999999996
X2-Z_red-Z_syn	THOI	-1.1535084941326037	0.8	0.19999999999999996
X1-X2-Z_red	THOI	0.3192384869703712	0.9	0.09999999999999998
X1-X2-Z_syn	THOI	0.31624847431007963	0.9	0.09999999999999998
X1-X2-Z_syn-Z_red	THOI	-2.9177861636814333	0.9	0.09999999999999998
X1-Z_red-Z_syn	THOI	-1.076454962316024	0.9	0.09999999999999998
X2-Z_red-Z_syn	THOI	-1.0703278161442922	0.9	0.09999999999999998
X1-X2-Z_red	THOI		1.0	0.0
X1-X2-Z_syn	THOI		1.0	0.0
X1-X2-Z_syn-Z_red	THOI		1.0	0.0
X1-Z_red-Z_syn	THOI		1.0	0.0
X2-Z_red-Z_syn	THOI		1.0	0.0
