n-plet	method	alpha	beta	O-information
X1-X2-Z_syn-Z_red	JIDT	0.01	0.99	4.0763864347881995
X1-X2-Z_syn	JIDT	0.01	0.99	0.11549217523801283
X1-X2-Z_red	JIDT	0.01	0.99	-4.5079495691879864E-17
X1-Z_red-Z_syn	JIDT	0.01	0.99	-2.6645352591003758E-18
X2-Z_red-Z_syn	JIDT	0.01	0.99	0.0
X1-X2-Z_syn-Z_red	JIDT	0.1	0.9	3.823362347546805
X1-X2-Z_syn	JIDT	0.1	0.9	0.0316559495299465
X1-X2-Z_red	JIDT	0.1	0.9	4.046984969363621E-17
X1-Z_red-Z_syn	JIDT	0.1	0.9	-3.446132268436486E-18
X2-Z_red-Z_syn	JIDT	0.1	0.9	0.0
X1-X2-Z_syn-Z_red	JIDT	0.2	0.8	3.423699300874675
X1-X2-Z_syn	JIDT	0.2	0.8	-0.08407957837180124
X1-X2-Z_red	JIDT	0.2	0.8	1.737276988933445E-17
X1-Z_red-Z_syn	JIDT	0.2	0.8	-2.9309887850104133E-18
X2-Z_red-Z_syn	JIDT	0.2	0.8	0.0
X1-X2-Z_syn-Z_red	JIDT	0.3	0.7	2.951443310675321
X1-X2-Z_syn	JIDT	0.3	0.7	-0.23540744721044163
X1-X2-Z_red	JIDT	0.3	0.7	1.2172485241990216E-17
X1-Z_red-Z_syn	JIDT	0.3	0.7	-3.4239278079439827E-18
X2-Z_red-Z_syn	JIDT	0.3	0.7	0.0
X1-X2-Z_syn-Z_red	JIDT	0.4	0.6	2.50977640065805
X1-X2-Z_syn	JIDT	0.4	0.6	-0.4288765773898204
X1-X2-Z_red	JIDT	0.4	0.6	7.687184222504583E-18
X1-Z_red-Z_syn	JIDT	0.4	0.6	-2.366995488500834E-18
X2-Z_red-Z_syn	JIDT	0.4	0.6	0.0
X1-X2-Z_syn-Z_red	JIDT	0.5	0.5	2.0901661672381224
X1-X2-Z_syn	JIDT	0.5	0.5	-0.6901691196328992
X1-X2-Z_red	JIDT	0.5	0.5	9.805489753489382E-18
X1-Z_red-Z_syn	JIDT	0.5	0.5	-2.9087843245179103E-18
X2-Z_red-Z_syn	JIDT	0.5	0.5	0.0
X1-X2-Z_syn-Z_red	JIDT	0.6	0.4	1.6935392845598283
X1-X2-Z_syn	JIDT	0.6	0.4	-0.9777124210779613
X1-X2-Z_red	JIDT	0.6	0.4	1.0427214647279469E-17
X1-Z_red-Z_syn	JIDT	0.6	0.4	-2.5002222514558527E-18
X2-Z_red-Z_syn	JIDT	0.6	0.4	0.0
X1-X2-Z_syn-Z_red	JIDT	0.7	0.3	1.2939654010169703
X1-X2-Z_syn	JIDT	0.7	0.3	-1.2823560331313
X1-X2-Z_red	JIDT	0.7	0.3	7.513989430663058E-18
X1-Z_red-Z_syn	JIDT	0.7	0.3	-3.601563491884008E-18
X2-Z_red-Z_syn	JIDT	0.7	0.3	0.0
X1-X2-Z_syn-Z_red	JIDT	0.8	0.2	0.8980597138281293
X1-X2-Z_syn	JIDT	0.8	0.2	-1.5776534184099693
X1-X2-Z_red	JIDT	0.8	0.2	9.805489753489382E-18
X1-Z_red-Z_syn	JIDT	0.8	0.2	-2.9798385980939205E-18
X2-Z_red-Z_syn	JIDT	0.8	0.2	0.0
X1-X2-Z_syn-Z_red	JIDT	0.9	0.1	0.6409726191393943
X1-X2-Z_syn	JIDT	0.9	0.1	-1.6856619395407395
X1-X2-Z_red	JIDT	0.9	0.1	8.752998326144733E-18
X1-Z_red-Z_syn	JIDT	0.9	0.1	-5.3379523023977524E-18
X2-Z_red-Z_syn	JIDT	0.9	0.1	0.0
X1-X2-Z_syn-Z_red	JIDT	1.0	0.0	3.4436208374132824
X1-X2-Z_syn	JIDT	1.0	0.0	7.066914211978419
X1-X2-Z_red	JIDT	1.0	0.0	-5.981437567470494E-17
X1-Z_red-Z_syn	JIDT	1.0	0.0	-7.72759634060094E-17
X2-Z_red-Z_syn	JIDT	1.0	0.0	0.0
