n-plet	method	alpha	beta	O-information
X1-X2-Zxor	JDIT	0.1	0.1	-0.5879256139293836
X1-X2-Zxor	JDIT	0.1	0.2	-0.5925249739299259
X1-X2-Zxor	JDIT	0.1	0.3	-0.591092964953868
X1-X2-Zxor	JDIT	0.1	0.4	-0.5898665436022285
X1-X2-Zxor	JDIT	0.1	0.5	-0.5906648894803672
X1-X2-Zxor	JDIT	0.1	0.6	-0.5899218947106549
X1-X2-Zxor	JDIT	0.1	0.7	-0.593010051832142
X1-X2-Zxor	JDIT	0.1	0.8	-0.5873202887517383
X1-X2-Zxor	JDIT	0.1	0.9	-0.5890611070825517
X1-X2-Zxor	JDIT	0.2	0.1	-0.5878042061036237
X1-X2-Zxor	JDIT	0.2	0.2	-0.5893537528365868
X1-X2-Zxor	JDIT	0.2	0.3	-0.59207270592328
X1-X2-Zxor	JDIT	0.2	0.4	-0.5921702096096564
X1-X2-Zxor	JDIT	0.2	0.5	-0.5935469231679694
X1-X2-Zxor	JDIT	0.2	0.6	-0.5914951578649322
X1-X2-Zxor	JDIT	0.2	0.7	-0.5907561699319344
X1-X2-Zxor	JDIT	0.2	0.8	-0.5908781381383273
X1-X2-Zxor	JDIT	0.2	0.9	-0.5890583967735323
X1-X2-Zxor	JDIT	0.3	0.1	-0.5896846452426077
X1-X2-Zxor	JDIT	0.3	0.2	-0.5906296757285683
X1-X2-Zxor	JDIT	0.3	0.3	-0.5914114280604964
X1-X2-Zxor	JDIT	0.3	0.4	-0.589907598118703
X1-X2-Zxor	JDIT	0.3	0.5	-0.5906170841009776
X1-X2-Zxor	JDIT	0.3	0.6	-0.5912589581387984
X1-X2-Zxor	JDIT	0.3	0.7	-0.5908674254117965
X1-X2-Zxor	JDIT	0.3	0.8	-0.588199664950713
X1-X2-Zxor	JDIT	0.3	0.9	-0.5886097201931615
X1-X2-Zxor	JDIT	0.4	0.1	-0.5902033532194098
X1-X2-Zxor	JDIT	0.4	0.2	-0.5891284257406197
X1-X2-Zxor	JDIT	0.4	0.3	-0.5903714173096235
X1-X2-Zxor	JDIT	0.4	0.4	-0.5923228780750494
X1-X2-Zxor	JDIT	0.4	0.5	-0.5897925753907844
X1-X2-Zxor	JDIT	0.4	0.6	-0.5885275442482125
X1-X2-Zxor	JDIT	0.4	0.7	-0.5906372467844169
X1-X2-Zxor	JDIT	0.4	0.8	-0.5894985697929854
X1-X2-Zxor	JDIT	0.4	0.9	-0.5920310637886981
X1-X2-Zxor	JDIT	0.5	0.1	-0.5881168378605613
X1-X2-Zxor	JDIT	0.5	0.2	-0.5921235108258645
X1-X2-Zxor	JDIT	0.5	0.3	-0.5901383910226083
X1-X2-Zxor	JDIT	0.5	0.4	-0.590004222481685
X1-X2-Zxor	JDIT	0.5	0.5	-0.5908859417645715
X1-X2-Zxor	JDIT	0.5	0.6	-0.5881228223115429
X1-X2-Zxor	JDIT	0.5	0.7	-0.5908259934996668
X1-X2-Zxor	JDIT	0.5	0.8	-0.5896897716994033
X1-X2-Zxor	JDIT	0.5	0.9	-0.5885397796730787
X1-X2-Zxor	JDIT	0.6	0.1	-0.5906897187545077
X1-X2-Zxor	JDIT	0.6	0.2	-0.5895879499843113
X1-X2-Zxor	JDIT	0.6	0.3	-0.5910571686976223
X1-X2-Zxor	JDIT	0.6	0.4	-0.5924239734022035
X1-X2-Zxor	JDIT	0.6	0.5	-0.5920690133104154
X1-X2-Zxor	JDIT	0.6	0.6	-0.5884393727715025
X1-X2-Zxor	JDIT	0.6	0.7	-0.5899543835771641
X1-X2-Zxor	JDIT	0.6	0.8	-0.5915243146191396
X1-X2-Zxor	JDIT	0.6	0.9	-0.5890760432238198
X1-X2-Zxor	JDIT	0.7	0.1	-0.590575054949025
X1-X2-Zxor	JDIT	0.7	0.2	-0.5887458579393423
X1-X2-Zxor	JDIT	0.7	0.3	-0.5924659590297296
X1-X2-Zxor	JDIT	0.7	0.4	-0.5902877083885438
X1-X2-Zxor	JDIT	0.7	0.5	-0.5912087140425568
X1-X2-Zxor	JDIT	0.7	0.6	-0.5906541489781342
X1-X2-Zxor	JDIT	0.7	0.7	-0.5902183874152407
X1-X2-Zxor	JDIT	0.7	0.8	-0.5912377546101706
X1-X2-Zxor	JDIT	0.7	0.9	-0.5896360733336012
X1-X2-Zxor	JDIT	0.8	0.1	-0.5911390361301673
X1-X2-Zxor	JDIT	0.8	0.2	-0.5891310683716966
X1-X2-Zxor	JDIT	0.8	0.3	-0.5920548708933616
X1-X2-Zxor	JDIT	0.8	0.4	-0.5895038795518694
X1-X2-Zxor	JDIT	0.8	0.5	-0.5904385811788584
X1-X2-Zxor	JDIT	0.8	0.6	-0.5907210394784717
X1-X2-Zxor	JDIT	0.8	0.7	-0.5917314676132484
X1-X2-Zxor	JDIT	0.8	0.8	-0.5926368807222916
X1-X2-Zxor	JDIT	0.8	0.9	-0.5895195365409863
X1-X2-Zxor	JDIT	0.9	0.1	-0.5915395848492144
X1-X2-Zxor	JDIT	0.9	0.2	-0.5874294519357081
X1-X2-Zxor	JDIT	0.9	0.3	-0.5899815473102072
X1-X2-Zxor	JDIT	0.9	0.4	-0.590727593844969
X1-X2-Zxor	JDIT	0.9	0.5	-0.5902472843405522
X1-X2-Zxor	JDIT	0.9	0.6	-0.5912446815490375
X1-X2-Zxor	JDIT	0.9	0.7	-0.5910832906204984
X1-X2-Zxor	JDIT	0.9	0.8	-0.5907054426108121
X1-X2-Zxor	JDIT	0.9	0.9	-0.5901035934408841
