sample size	iteration	time
1000	0	141.0
1000	1	72.0
1000	2	58.0
1000	3	38.0
1000	4	46.0
1000	5	31.0
1000	6	35.0
1000	7	31.0
1000	8	29.0
1000	9	31.0
1000	10	31.0
1000	11	30.0
1000	12	28.0
1000	13	41.0
1000	14	28.0
1000	15	28.0
1000	16	32.0
1000	17	28.0
1000	18	37.0
1000	19	35.0
1000	20	29.0
1000	21	32.0
1000	22	26.0
1000	23	29.0
1000	24	28.0
1000	25	24.0
1000	26	27.0
1000	27	28.0
1000	28	32.0
1000	29	26.0
1000	30	26.0
1000	31	28.0
1000	32	33.0
1000	33	27.0
1000	34	39.0
1000	35	42.0
1000	36	28.0
1000	37	28.0
1000	38	26.0
1000	39	25.0
1000	40	31.0
1000	41	27.0
1000	42	28.0
1000	43	28.0
1000	44	31.0
1000	45	27.0
1000	46	43.0
1000	47	26.0
1000	48	26.0
1000	49	23.0
1000	50	29.0
1000	51	41.0
1000	52	34.0
1000	53	28.0
1000	54	26.0
1000	55	39.0
1000	56	28.0
1000	57	31.0
1000	58	28.0
1000	59	30.0
1000	60	33.0
1000	61	26.0
1000	62	27.0
1000	63	28.0
1000	64	25.0
1000	65	24.0
1000	66	29.0
1000	67	28.0
1000	68	26.0
1000	69	24.0
1000	70	25.0
1000	71	24.0
1000	72	30.0
1000	73	34.0
1000	74	25.0
1000	75	29.0
1000	76	27.0
1000	77	29.0
1000	78	24.0
1000	79	25.0
1000	80	29.0
1000	81	28.0
1000	82	28.0
1000	83	28.0
1000	84	29.0
1000	85	28.0
1000	86	27.0
1000	87	26.0
1000	88	26.0
1000	89	29.0
1000	90	27.0
1000	91	36.0
1000	92	25.0
1000	93	27.0
1000	94	25.0
1000	95	29.0
1000	96	28.0
1000	97	28.0
1000	98	24.0
1000	99	25.0
5000	0	203.0
5000	1	205.0
5000	2	212.0
5000	3	189.0
5000	4	191.0
5000	5	213.0
5000	6	192.0
5000	7	209.0
5000	8	193.0
5000	9	208.0
5000	10	216.0
5000	11	190.0
5000	12	216.0
5000	13	197.0
5000	14	194.0
5000	15	196.0
5000	16	193.0
5000	17	192.0
5000	18	216.0
5000	19	189.0
5000	20	196.0
5000	21	188.0
5000	22	189.0
5000	23	205.0
5000	24	195.0
5000	25	190.0
5000	26	190.0
5000	27	197.0
5000	28	196.0
5000	29	197.0
5000	30	227.0
5000	31	208.0
5000	32	211.0
5000	33	206.0
5000	34	193.0
