library	estimator	T	N	batch_size	order	time
THOI	GC	1000	5	100000	3	5.818883419036865
THOI	GC	1000	5	100000	4	0.013273239135742188
THOI	GC	1000	5	200000	3	0.015526771545410156
THOI	GC	1000	5	200000	4	0.012867927551269531
THOI	GC	1000	5	300000	3	0.01855611801147461
THOI	GC	1000	5	300000	4	0.01867508888244629
THOI	GC	1000	5	400000	3	0.024542808532714844
THOI	GC	1000	5	400000	4	0.023865699768066406
THOI	GC	1000	5	500000	3	0.02958226203918457
THOI	GC	1000	5	500000	4	0.029489994049072266
THOI	GC	1000	5	600000	3	0.035919904708862305
THOI	GC	1000	5	600000	4	0.03475761413574219
THOI	GC	1000	5	700000	3	0.040999412536621094
THOI	GC	1000	5	700000	4	0.04013776779174805
THOI	GC	1000	5	800000	3	0.0464787483215332
THOI	GC	1000	5	800000	4	0.04568910598754883
THOI	GC	1000	5	900000	3	0.05290651321411133
THOI	GC	1000	5	900000	4	0.0518186092376709
THOI	GC	1000	5	1000000	3	0.05896806716918945
THOI	GC	1000	5	1000000	4	0.057119131088256836
THOI	GC	1000	10	100000	3	0.010694026947021484
THOI	GC	1000	10	100000	4	0.012264251708984375
THOI	GC	1000	10	100000	5	0.012422323226928711
THOI	GC	1000	10	100000	6	0.012664318084716797
THOI	GC	1000	10	100000	7	0.010555505752563477
THOI	GC	1000	10	100000	8	0.009159326553344727
THOI	GC	1000	10	100000	9	0.008498430252075195
THOI	GC	1000	10	200000	3	0.015561580657958984
THOI	GC	1000	10	200000	4	0.017087697982788086
THOI	GC	1000	10	200000	5	0.017848730087280273
THOI	GC	1000	10	200000	6	0.01776409149169922
THOI	GC	1000	10	200000	7	0.016370058059692383
THOI	GC	1000	10	200000	8	0.015088796615600586
THOI	GC	1000	10	200000	9	0.013385295867919922
THOI	GC	1000	10	300000	3	0.02179884910583496
THOI	GC	1000	10	300000	4	0.02865886688232422
THOI	GC	1000	10	300000	5	0.02407979965209961
THOI	GC	1000	10	300000	6	0.02344989776611328
THOI	GC	1000	10	300000	7	0.02312755584716797
THOI	GC	1000	10	300000	8	0.021421194076538086
THOI	GC	1000	10	300000	9	0.020187854766845703
THOI	GC	1000	10	400000	3	0.02686023712158203
THOI	GC	1000	10	400000	4	0.028530120849609375
THOI	GC	1000	10	400000	5	0.02923870086669922
THOI	GC	1000	10	400000	6	0.03798866271972656
THOI	GC	1000	10	400000	7	0.027928829193115234
THOI	GC	1000	10	400000	8	0.028531551361083984
THOI	GC	1000	10	400000	9	0.02754354476928711
THOI	GC	1000	10	500000	3	0.03359031677246094
THOI	GC	1000	10	500000	4	0.033620357513427734
THOI	GC	1000	10	500000	5	0.03436017036437988
THOI	GC	1000	10	500000	6	0.0375208854675293
THOI	GC	1000	10	500000	7	0.03789544105529785
THOI	GC	1000	10	500000	8	0.036067962646484375
THOI	GC	1000	10	500000	9	0.03123307228088379
THOI	GC	1000	10	600000	3	0.039185285568237305
THOI	GC	1000	10	600000	4	0.040433406829833984
THOI	GC	1000	10	600000	5	0.040169477462768555
THOI	GC	1000	10	600000	6	0.0392000675201416
THOI	GC	1000	10	600000	7	0.03905344009399414
THOI	GC	1000	10	600000	8	0.03838539123535156
THOI	GC	1000	10	600000	9	0.0351109504699707
THOI	GC	1000	10	700000	3	0.04313158988952637
THOI	GC	1000	10	700000	4	0.04449200630187988
THOI	GC	1000	10	700000	5	0.046649932861328125
THOI	GC	1000	10	700000	6	0.04531216621398926
THOI	GC	1000	10	700000	7	0.04512619972229004
THOI	GC	1000	10	700000	8	0.046080827713012695
THOI	GC	1000	10	700000	9	0.040474653244018555
THOI	GC	1000	10	800000	3	0.04817342758178711
THOI	GC	1000	10	800000	4	0.050858497619628906
THOI	GC	1000	10	800000	5	0.05324363708496094
THOI	GC	1000	10	800000	6	0.051064252853393555
THOI	GC	1000	10	800000	7	0.04940938949584961
THOI	GC	1000	10	800000	8	0.049355506896972656
THOI	GC	1000	10	800000	9	0.04628109931945801
THOI	GC	1000	10	900000	3	0.05704474449157715
THOI	GC	1000	10	900000	4	0.05588841438293457
THOI	GC	1000	10	900000	5	0.05803990364074707
THOI	GC	1000	10	900000	6	0.057630300521850586
THOI	GC	1000	10	900000	7	0.05639362335205078
THOI	GC	1000	10	900000	8	0.05330634117126465
THOI	GC	1000	10	900000	9	0.05214953422546387
THOI	GC	1000	10	1000000	3	0.059993743896484375
THOI	GC	1000	10	1000000	4	0.06206941604614258
THOI	GC	1000	10	1000000	5	0.06293487548828125
THOI	GC	1000	10	1000000	6	0.06575727462768555
THOI	GC	1000	10	1000000	7	0.06143617630004883
THOI	GC	1000	10	1000000	8	0.06007051467895508
THOI	GC	1000	10	1000000	9	0.056905508041381836
THOI	GC	1000	15	100000	3	0.015090227127075195
THOI	GC	1000	15	100000	4	0.06165122985839844
THOI	GC	1000	15	100000	5	0.05042243003845215
THOI	GC	1000	15	100000	6	0.07738518714904785
THOI	GC	1000	15	100000	7	0.09811615943908691
THOI	GC	1000	15	100000	8	0.09904670715332031
THOI	GC	1000	15	100000	9	0.08210468292236328
THOI	GC	1000	15	100000	10	0.09255409240722656
THOI	GC	1000	15	100000	11	0.03497147560119629
THOI	GC	1000	15	100000	12	0.01992177963256836
THOI	GC	1000	15	100000	13	0.011731624603271484
THOI	GC	1000	15	100000	14	0.009454727172851562
THOI	GC	1000	15	200000	3	0.021204710006713867
THOI	GC	1000	15	200000	4	0.03483700752258301
THOI	GC	1000	15	200000	5	0.05656862258911133
THOI	GC	1000	15	200000	6	0.08685827255249023
THOI	GC	1000	15	200000	7	0.10603809356689453
THOI	GC	1000	15	200000	8	0.10653877258300781
THOI	GC	1000	15	200000	9	0.12208342552185059
THOI	GC	1000	15	200000	10	0.06330513954162598
THOI	GC	1000	15	200000	11	0.03828120231628418
THOI	GC	1000	15	200000	12	0.025331735610961914
THOI	GC	1000	15	200000	13	0.018182992935180664
THOI	GC	1000	15	200000	14	0.016679763793945312
THOI	GC	1000	15	300000	3	0.027377843856811523
THOI	GC	1000	15	300000	4	0.04288458824157715
THOI	GC	1000	15	300000	5	0.062043190002441406
THOI	GC	1000	15	300000	6	0.08896899223327637
THOI	GC	1000	15	300000	7	0.11013197898864746
THOI	GC	1000	15	300000	8	0.14549517631530762
THOI	GC	1000	15	300000	9	0.09418892860412598
THOI	GC	1000	15	300000	10	0.06885385513305664
THOI	GC	1000	15	300000	11	0.046016693115234375
THOI	GC	1000	15	300000	12	0.04173564910888672
THOI	GC	1000	15	300000	13	0.023787498474121094
THOI	GC	1000	15	300000	14	0.024455547332763672
THOI	GC	1000	15	400000	3	0.033695220947265625
THOI	GC	1000	15	400000	4	0.04549407958984375
THOI	GC	1000	15	400000	5	0.07775068283081055
THOI	GC	1000	15	400000	6	0.09395265579223633
THOI	GC	1000	15	400000	7	0.15273356437683105
THOI	GC	1000	15	400000	8	0.11653542518615723
THOI	GC	1000	15	400000	9	0.09952926635742188
THOI	GC	1000	15	400000	10	0.07351064682006836
THOI	GC	1000	15	400000	11	0.0516352653503418
THOI	GC	1000	15	400000	12	0.03697943687438965
THOI	GC	1000	15	400000	13	0.029511451721191406
THOI	GC	1000	15	400000	14	0.02642536163330078
THOI	GC	1000	15	500000	3	0.03819727897644043
THOI	GC	1000	15	500000	4	0.04992079734802246
THOI	GC	1000	15	500000	5	0.07308530807495117
THOI	GC	1000	15	500000	6	0.1011953353881836
THOI	GC	1000	15	500000	7	0.1533658504486084
THOI	GC	1000	15	500000	8	0.12320542335510254
THOI	GC	1000	15	500000	9	0.10600090026855469
THOI	GC	1000	15	500000	10	0.08025813102722168
THOI	GC	1000	15	500000	11	0.05411052703857422
THOI	GC	1000	15	500000	12	0.04119753837585449
THOI	GC	1000	15	500000	13	0.03550243377685547
THOI	GC	1000	15	500000	14	0.033896684646606445
THOI	GC	1000	15	600000	3	0.04444479942321777
THOI	GC	1000	15	600000	4	0.05545949935913086
THOI	GC	1000	15	600000	5	0.08051300048828125
THOI	GC	1000	15	600000	6	0.1439809799194336
THOI	GC	1000	15	600000	7	0.12671256065368652
