library	estimator	T	N	batch_size	order	time
THOI	GC	1000	5	100000	3	1.9910235404968262
THOI	GC	1000	5	100000	4	0.013749361038208008
THOI	GC	1000	5	200000	3	0.025339603424072266
THOI	GC	1000	5	200000	4	0.024693965911865234
THOI	GC	1000	5	300000	3	0.03868842124938965
THOI	GC	1000	5	300000	4	0.03640389442443848
THOI	GC	1000	5	400000	3	0.04887795448303223
THOI	GC	1000	5	400000	4	0.04912614822387695
THOI	GC	1000	5	500000	3	0.06052565574645996
THOI	GC	1000	5	500000	4	0.06042313575744629
THOI	GC	1000	5	600000	3	0.0725398063659668
THOI	GC	1000	5	600000	4	0.07832002639770508
THOI	GC	1000	5	700000	3	0.08499765396118164
THOI	GC	1000	5	700000	4	0.08398318290710449
THOI	GC	1000	5	800000	3	0.0953521728515625
THOI	GC	1000	5	800000	4	0.09550929069519043
THOI	GC	1000	5	900000	3	0.10739517211914062
THOI	GC	1000	5	900000	4	0.10951614379882812
THOI	GC	1000	5	1000000	3	0.12086915969848633
THOI	GC	1000	5	1000000	4	0.12014889717102051
THOI	GC	1000	10	100000	3	0.021035194396972656
THOI	GC	1000	10	100000	4	0.02129054069519043
THOI	GC	1000	10	100000	5	0.022871732711791992
THOI	GC	1000	10	100000	6	0.022284269332885742
THOI	GC	1000	10	100000	7	0.020587682723999023
THOI	GC	1000	10	100000	8	0.019420623779296875
THOI	GC	1000	10	100000	9	0.017924785614013672
THOI	GC	1000	10	200000	3	0.03481435775756836
THOI	GC	1000	10	200000	4	0.0372166633605957
THOI	GC	1000	10	200000	5	0.041229248046875
THOI	GC	1000	10	200000	6	0.03531289100646973
THOI	GC	1000	10	200000	7	0.0351407527923584
THOI	GC	1000	10	200000	8	0.03425455093383789
THOI	GC	1000	10	200000	9	0.03116893768310547
THOI	GC	1000	10	300000	3	0.049330711364746094
THOI	GC	1000	10	300000	4	0.051285743713378906
THOI	GC	1000	10	300000	5	0.050972700119018555
THOI	GC	1000	10	300000	6	0.05008840560913086
THOI	GC	1000	10	300000	7	0.04959535598754883
THOI	GC	1000	10	300000	8	0.04792904853820801
THOI	GC	1000	10	300000	9	0.04468822479248047
THOI	GC	1000	10	400000	3	0.06199932098388672
THOI	GC	1000	10	400000	4	0.06323075294494629
THOI	GC	1000	10	400000	5	0.06382632255554199
THOI	GC	1000	10	400000	6	0.06417465209960938
THOI	GC	1000	10	400000	7	0.06218671798706055
THOI	GC	1000	10	400000	8	0.06250524520874023
THOI	GC	1000	10	400000	9	0.057675838470458984
THOI	GC	1000	10	500000	3	0.07551169395446777
