library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	100000	3	2.664212703704834
THOI	GC	1000	30	100000	4	2.970062732696533
THOI	GC	1000	30	100000	5	12.909798860549927
THOI	GC	1000	30	100000	6	56.025551080703735
THOI	GC	1000	30	100000	7	217.5670030117035
THOI	GC	1000	30	100000	8	794.3756713867188
THOI	GC	1000	30	100000	9	2377.215803861618
THOI	GC	1000	30	100000	10	4103.993120908737
THOI	GC	1000	30	100000	11	7423.517200946808
THOI	GC	1000	30	100000	12	11608.26076388359
THOI	GC	1000	30	100000	13	17274.121602773666
THOI	GC	1000	30	100000	14	22410.085648298264
THOI	GC	1000	30	100000	15	25230.614290714264
THOI	GC	1000	30	100000	16	22904.186429023743
THOI	GC	1000	30	100000	17	16707.840103387833
THOI	GC	1000	30	100000	18	11984.343403816223
THOI	GC	1000	30	100000	19	7634.055125951767
THOI	GC	1000	30	100000	20	4518.92254948616
THOI	GC	1000	30	100000	21	2686.6306204795837
THOI	GC	1000	30	100000	22	1233.2586619853973
THOI	GC	1000	30	100000	23	417.8715271949768
THOI	GC	1000	30	100000	24	86.66646671295166
THOI	GC	1000	30	100000	25	26.54457187652588
THOI	GC	1000	30	100000	26	9.173576354980469
THOI	GC	1000	30	100000	27	1.4175491333007812
THOI	GC	1000	30	100000	28	0.30074048042297363
THOI	GC	1000	30	100000	29	0.14382529258728027
THOI	GC	1000	30	200000	3	1.4340600967407227
THOI	GC	1000	30	200000	4	9.68261981010437
THOI	GC	1000	30	200000	5	31.89905595779419
THOI	GC	1000	30	200000	6	123.60859537124634
THOI	GC	1000	30	200000	7	436.7223906517029
THOI	GC	1000	30	200000	8	1205.1484954357147
THOI	GC	1000	30	200000	9	2638.5460455417633
THOI	GC	1000	30	200000	10	5256.67614865303
