library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	100000	3	3.7819015979766846
THOI	GC	1000	30	100000	4	0.10530710220336914
THOI	GC	1000	30	100000	5	0.5490920543670654
THOI	GC	1000	30	100000	6	2.518667697906494
THOI	GC	1000	30	100000	7	9.971940755844116
THOI	GC	1000	30	100000	8	32.73460841178894
THOI	GC	1000	30	100000	9	90.64140582084656
THOI	GC	1000	30	100000	10	211.23333144187927
THOI	GC	1000	30	100000	11	437.27614760398865
THOI	GC	1000	30	100000	12	805.742915391922
THOI	GC	1000	30	100000	13	1285.1272344589233
THOI	GC	1000	30	100000	14	1766.8116538524628
THOI	GC	1000	30	100000	15	2163.8327300548553
THOI	GC	1000	30	100000	16	2333.423702955246
THOI	GC	1000	30	100000	17	2203.6724059581757
THOI	GC	1000	30	100000	18	2013.4345073699951
THOI	GC	1000	30	100000	19	1430.1165716648102
THOI	GC	1000	30	100000	20	895.0332927703857
THOI	GC	1000	30	100000	21	474.7674832344055
THOI	GC	1000	30	100000	22	218.31095814704895
THOI	GC	1000	30	100000	23	84.04217004776001
THOI	GC	1000	30	100000	24	27.46116018295288
THOI	GC	1000	30	100000	25	7.4662699699401855
THOI	GC	1000	30	100000	26	1.7723793983459473
THOI	GC	1000	30	100000	27	0.30507516860961914
THOI	GC	1000	30	100000	28	0.04234600067138672
THOI	GC	1000	30	100000	29	0.008696317672729492
THOI	GC	1000	30	200000	3	0.01923513412475586
THOI	GC	1000	30	200000	4	0.09636640548706055
THOI	GC	1000	30	200000	5	0.6500580310821533
THOI	GC	1000	30	200000	6	2.7904956340789795
THOI	GC	1000	30	200000	7	10.40748643875122
THOI	GC	1000	30	200000	8	33.489696741104126
THOI	GC	1000	30	200000	9	90.58654403686523
THOI	GC	1000	30	200000	10	208.31250977516174
THOI	GC	1000	30	200000	11	430.58397126197815
THOI	GC	1000	30	200000	12	794.1856319904327
THOI	GC	1000	30	200000	13	1257.3968663215637
THOI	GC	1000	30	200000	14	1729.348114490509
THOI	GC	1000	30	200000	15	2101.4266028404236
THOI	GC	1000	30	200000	16	2262.539302110672
THOI	GC	1000	30	200000	17	2141.8495016098022
THOI	GC	1000	30	200000	18	1985.526481628418
THOI	GC	1000	30	200000	19	1408.3315513134003
THOI	GC	1000	30	200000	20	881.1055519580841
THOI	GC	1000	30	200000	21	470.6344027519226
THOI	GC	1000	30	200000	22	216.03371381759644
THOI	GC	1000	30	200000	23	83.42503809928894
THOI	GC	1000	30	200000	24	29.317919492721558
THOI	GC	1000	30	200000	25	7.324021577835083
THOI	GC	1000	30	200000	26	1.7488899230957031
THOI	GC	1000	30	200000	27	0.310896635055542
THOI	GC	1000	30	200000	28	0.04614734649658203
THOI	GC	1000	30	200000	29	0.012560844421386719
THOI	GC	1000	30	300000	3	0.02393651008605957
THOI	GC	1000	30	300000	4	0.09693336486816406
THOI	GC	1000	30	300000	5	0.6527688503265381
THOI	GC	1000	30	300000	6	2.839555263519287
THOI	GC	1000	30	300000	7	10.14704704284668
THOI	GC	1000	30	300000	8	33.10972833633423
THOI	GC	1000	30	300000	9	90.01072287559509
THOI	GC	1000	30	300000	10	206.74694991111755
THOI	GC	1000	30	300000	11	427.0332729816437
THOI	GC	1000	30	300000	12	791.3453552722931
THOI	GC	1000	30	300000	13	1252.225384235382
THOI	GC	1000	30	300000	14	1715.3679132461548
THOI	GC	1000	30	300000	15	2093.705177783966
THOI	GC	1000	30	300000	16	2263.15638256073
THOI	GC	1000	30	300000	17	2160.7763018608093
THOI	GC	1000	30	300000	18	2222.666493654251
THOI	GC	1000	30	300000	19	1542.2828397750854
THOI	GC	1000	30	300000	20	906.7018749713898
THOI	GC	1000	30	300000	21	506.7261016368866
