library	estimator	T	N	batch_size	order	time
THOI	GC-gpu	1000	5	100000	3	1.4876859188079834
THOI	GC-gpu	1000	5	100000	4	0.08063912391662598
THOI	GC-gpu	1000	5	200000	3	0.09709548950195312
THOI	GC-gpu	1000	5	200000	4	0.09425663948059082
THOI	GC-gpu	1000	5	300000	3	0.11297321319580078
THOI	GC-gpu	1000	5	300000	4	0.11616826057434082
THOI	GC-gpu	1000	5	400000	3	0.13738608360290527
THOI	GC-gpu	1000	5	400000	4	0.13399982452392578
THOI	GC-gpu	1000	5	500000	3	0.15316081047058105
THOI	GC-gpu	1000	5	500000	4	0.1660456657409668
THOI	GC-gpu	1000	5	600000	3	0.17178750038146973
THOI	GC-gpu	1000	5	600000	4	0.1726360321044922
THOI	GC-gpu	1000	5	700000	3	0.1962442398071289
THOI	GC-gpu	1000	5	700000	4	0.19767236709594727
THOI	GC-gpu	1000	5	800000	3	0.22529387474060059
THOI	GC-gpu	1000	5	800000	4	0.22044110298156738
THOI	GC-gpu	1000	5	900000	3	0.24550223350524902
THOI	GC-gpu	1000	5	900000	4	0.24528765678405762
THOI	GC-gpu	1000	5	1000000	3	0.27310824394226074
THOI	GC-gpu	1000	5	1000000	4	0.2771456241607666
THOI	GC-gpu	1000	10	100000	3	0.08104324340820312
THOI	GC-gpu	1000	10	100000	4	0.08609247207641602
THOI	GC-gpu	1000	10	100000	5	0.08591699600219727
THOI	GC-gpu	1000	10	100000	6	0.08362150192260742
THOI	GC-gpu	1000	10	100000	7	0.08208870887756348
THOI	GC-gpu	1000	10	100000	8	0.09247732162475586
THOI	GC-gpu	1000	10	100000	9	0.08040332794189453
THOI	GC-gpu	1000	10	200000	3	0.10989737510681152
THOI	GC-gpu	1000	10	200000	4	0.09914016723632812
THOI	GC-gpu	1000	10	200000	5	0.10093212127685547
THOI	GC-gpu	1000	10	200000	6	0.0975351333618164
THOI	GC-gpu	1000	10	200000	7	0.1015326976776123
THOI	GC-gpu	1000	10	200000	8	0.09833407402038574
THOI	GC-gpu	1000	10	200000	9	0.11135172843933105
THOI	GC-gpu	1000	10	300000	3	0.11804509162902832
THOI	GC-gpu	1000	10	300000	4	0.1153573989868164
THOI	GC-gpu	1000	10	300000	5	0.11836647987365723
THOI	GC-gpu	1000	10	300000	6	0.11562561988830566
THOI	GC-gpu	1000	10	300000	7	0.12679266929626465
THOI	GC-gpu	1000	10	300000	8	0.1193997859954834
THOI	GC-gpu	1000	10	300000	9	0.11590170860290527
THOI	GC-gpu	1000	10	400000	3	0.1368715763092041
THOI	GC-gpu	1000	10	400000	4	0.136505126953125
THOI	GC-gpu	1000	10	400000	5	0.13702774047851562
THOI	GC-gpu	1000	10	400000	6	0.1358785629272461
THOI	GC-gpu	1000	10	400000	7	0.13537836074829102
THOI	GC-gpu	1000	10	400000	8	0.13755536079406738
THOI	GC-gpu	1000	10	400000	9	0.13327622413635254
THOI	GC-gpu	1000	10	500000	3	0.15147638320922852
THOI	GC-gpu	1000	10	500000	4	0.15524506568908691
THOI	GC-gpu	1000	10	500000	5	0.15471935272216797
THOI	GC-gpu	1000	10	500000	6	0.15711331367492676
THOI	GC-gpu	1000	10	500000	7	0.1582317352294922
THOI	GC-gpu	1000	10	500000	8	0.1556229591369629
THOI	GC-gpu	1000	10	500000	9	0.15613269805908203
THOI	GC-gpu	1000	10	600000	3	0.17471861839294434
THOI	GC-gpu	1000	10	600000	4	0.17291259765625
THOI	GC-gpu	1000	10	600000	5	0.1716928482055664
THOI	GC-gpu	1000	10	600000	6	0.17751312255859375
THOI	GC-gpu	1000	10	600000	7	0.17472028732299805
THOI	GC-gpu	1000	10	600000	8	0.16986846923828125
THOI	GC-gpu	1000	10	600000	9	0.17351174354553223
THOI	GC-gpu	1000	10	700000	3	0.20140862464904785
THOI	GC-gpu	1000	10	700000	4	0.19503474235534668
THOI	GC-gpu	1000	10	700000	5	0.19958853721618652
THOI	GC-gpu	1000	10	700000	6	0.20080924034118652
THOI	GC-gpu	1000	10	700000	7	0.19692492485046387
THOI	GC-gpu	1000	10	700000	8	0.19913840293884277
THOI	GC-gpu	1000	10	700000	9	0.19580912590026855
THOI	GC-gpu	1000	10	800000	3	0.22391009330749512
THOI	GC-gpu	1000	10	800000	4	0.22562670707702637
THOI	GC-gpu	1000	10	800000	5	0.22264695167541504
THOI	GC-gpu	1000	10	800000	6	0.22072386741638184
THOI	GC-gpu	1000	10	800000	7	0.2239210605621338
THOI	GC-gpu	1000	10	800000	8	0.22296380996704102
THOI	GC-gpu	1000	10	800000	9	0.22231411933898926
THOI	GC-gpu	1000	10	900000	3	0.25626277923583984
THOI	GC-gpu	1000	10	900000	4	0.24908804893493652
THOI	GC-gpu	1000	10	900000	5	0.25063109397888184
THOI	GC-gpu	1000	10	900000	6	0.24597787857055664
THOI	GC-gpu	1000	10	900000	7	0.26938343048095703
THOI	GC-gpu	1000	10	900000	8	0.25722503662109375
THOI	GC-gpu	1000	10	900000	9	0.2505037784576416
THOI	GC-gpu	1000	10	1000000	3	0.27385449409484863
THOI	GC-gpu	1000	10	1000000	4	0.2698357105255127
THOI	GC-gpu	1000	10	1000000	5	0.27294230461120605
THOI	GC-gpu	1000	10	1000000	6	0.2752807140350342
THOI	GC-gpu	1000	10	1000000	7	0.2822690010070801
THOI	GC-gpu	1000	10	1000000	8	0.2834460735321045
THOI	GC-gpu	1000	10	1000000	9	0.2718348503112793
THOI	GC-gpu	1000	15	100000	3	0.08745980262756348
THOI	GC-gpu	1000	15	100000	4	0.1053469181060791
THOI	GC-gpu	1000	15	100000	5	0.1288318634033203
THOI	GC-gpu	1000	15	100000	6	0.15733861923217773
THOI	GC-gpu	1000	15	100000	7	0.23528027534484863
THOI	GC-gpu	1000	15	100000	8	0.23895859718322754
THOI	GC-gpu	1000	15	100000	9	0.17147088050842285
THOI	GC-gpu	1000	15	100000	10	0.1382582187652588
THOI	GC-gpu	1000	15	100000	11	0.11151123046875
THOI	GC-gpu	1000	15	100000	12	0.0915384292602539
THOI	GC-gpu	1000	15	100000	13	0.08403372764587402
THOI	GC-gpu	1000	15	100000	14	0.08364677429199219
THOI	GC-gpu	1000	15	200000	3	0.10347962379455566
THOI	GC-gpu	1000	15	200000	4	0.11470675468444824
THOI	GC-gpu	1000	15	200000	5	0.14522123336791992
THOI	GC-gpu	1000	15	200000	6	0.17191243171691895
THOI	GC-gpu	1000	15	200000	7	0.25471997261047363
THOI	GC-gpu	1000	15	200000	8	0.24765634536743164
THOI	GC-gpu	1000	15	200000	9	0.1821908950805664
THOI	GC-gpu	1000	15	200000	10	0.1525719165802002
THOI	GC-gpu	1000	15	200000	11	0.1280534267425537
THOI	GC-gpu	1000	15	200000	12	0.11149787902832031
THOI	GC-gpu	1000	15	200000	13	0.11087870597839355
THOI	GC-gpu	1000	15	200000	14	0.09750771522521973
THOI	GC-gpu	1000	15	300000	3	0.1181035041809082
THOI	GC-gpu	1000	15	300000	4	0.13006949424743652
THOI	GC-gpu	1000	15	300000	5	0.15763163566589355
THOI	GC-gpu	1000	15	300000	6	0.18764758110046387
THOI	GC-gpu	1000	15	300000	7	0.2659180164337158
THOI	GC-gpu	1000	15	300000	8	0.2684159278869629
THOI	GC-gpu	1000	15	300000	9	0.19685983657836914
THOI	GC-gpu	1000	15	300000	10	0.16889548301696777
THOI	GC-gpu	1000	15	300000	11	0.13739371299743652
THOI	GC-gpu	1000	15	300000	12	0.12790179252624512
THOI	GC-gpu	1000	15	300000	13	0.12154507637023926
THOI	GC-gpu	1000	15	300000	14	0.12678003311157227
THOI	GC-gpu	1000	15	400000	3	0.14337778091430664
THOI	GC-gpu	1000	15	400000	4	0.1467151641845703
THOI	GC-gpu	1000	15	400000	5	0.18486833572387695
THOI	GC-gpu	1000	15	400000	6	0.20215415954589844
THOI	GC-gpu	1000	15	400000	7	0.2818620204925537
THOI	GC-gpu	1000	15	400000	8	0.2830953598022461
THOI	GC-gpu	1000	15	400000	9	0.20775556564331055
THOI	GC-gpu	1000	15	400000	10	0.21361589431762695
THOI	GC-gpu	1000	15	400000	11	0.1511249542236328
THOI	GC-gpu	1000	15	400000	12	0.14076638221740723
THOI	GC-gpu	1000	15	400000	13	0.14096379280090332
THOI	GC-gpu	1000	15	400000	14	0.14035606384277344
THOI	GC-gpu	1000	15	500000	3	0.1648101806640625
THOI	GC-gpu	1000	15	500000	4	0.16689181327819824
THOI	GC-gpu	1000	15	500000	5	0.19742536544799805
THOI	GC-gpu	1000	15	500000	6	0.21408557891845703
THOI	GC-gpu	1000	15	500000	7	0.29589152336120605
THOI	GC-gpu	1000	15	500000	8	0.29108667373657227
THOI	GC-gpu	1000	15	500000	9	0.22305846214294434
THOI	GC-gpu	1000	15	500000	10	0.20578837394714355
THOI	GC-gpu	1000	15	500000	11	0.17049455642700195
THOI	GC-gpu	1000	15	500000	12	0.17361092567443848
THOI	GC-gpu	1000	15	500000	13	0.16588187217712402
THOI	GC-gpu	1000	15	500000	14	0.15831708908081055
THOI	GC-gpu	1000	15	600000	3	0.17864680290222168
THOI	GC-gpu	1000	15	600000	4	0.1853775978088379
THOI	GC-gpu	1000	15	600000	5	0.20855998992919922
THOI	GC-gpu	1000	15	600000	6	0.23428964614868164
THOI	GC-gpu	1000	15	600000	7	0.3065943717956543
THOI	GC-gpu	1000	15	600000	8	0.3101317882537842
THOI	GC-gpu	1000	15	600000	9	0.25162839889526367
THOI	GC-gpu	1000	15	600000	10	0.22263669967651367
THOI	GC-gpu	1000	15	600000	11	0.18610906600952148
THOI	GC-gpu	1000	15	600000	12	0.19082927703857422
THOI	GC-gpu	1000	15	600000	13	0.18859481811523438
THOI	GC-gpu	1000	15	600000	14	0.1924457550048828
THOI	GC-gpu	1000	15	700000	3	0.20520591735839844
THOI	GC-gpu	1000	15	700000	4	0.21558594703674316
THOI	GC-gpu	1000	15	700000	5	0.23074054718017578
THOI	GC-gpu	1000	15	700000	6	0.25435376167297363
THOI	GC-gpu	1000	15	700000	7	0.33503174781799316
THOI	GC-gpu	1000	15	700000	8	0.3283498287200928
THOI	GC-gpu	1000	15	700000	9	0.2876121997833252
THOI	GC-gpu	1000	15	700000	10	0.23249030113220215
THOI	GC-gpu	1000	15	700000	11	0.20447015762329102
THOI	GC-gpu	1000	15	700000	12	0.20122790336608887
THOI	GC-gpu	1000	15	700000	13	0.19633769989013672
THOI	GC-gpu	1000	15	700000	14	0.20270872116088867
THOI	GC-gpu	1000	15	800000	3	0.21978330612182617
THOI	GC-gpu	1000	15	800000	4	0.22437191009521484
THOI	GC-gpu	1000	15	800000	5	0.2377002239227295
THOI	GC-gpu	1000	15	800000	6	0.2666771411895752
THOI	GC-gpu	1000	15	800000	7	0.3404572010040283
THOI	GC-gpu	1000	15	800000	8	0.33925914764404297
THOI	GC-gpu	1000	15	800000	9	0.27680110931396484
THOI	GC-gpu	1000	15	800000	10	0.253248929977417
THOI	GC-gpu	1000	15	800000	11	0.22600984573364258
THOI	GC-gpu	1000	15	800000	12	0.22417283058166504
THOI	GC-gpu	1000	15	800000	13	0.22137451171875
THOI	GC-gpu	1000	15	800000	14	0.21802043914794922
THOI	GC-gpu	1000	15	900000	3	0.2783317565917969
THOI	GC-gpu	1000	15	900000	4	0.24237585067749023
THOI	GC-gpu	1000	15	900000	5	0.276442289352417
THOI	GC-gpu	1000	15	900000	6	0.31113243103027344
THOI	GC-gpu	1000	15	900000	7	0.390899658203125
THOI	GC-gpu	1000	15	900000	8	0.378324031829834
THOI	GC-gpu	1000	15	900000	9	0.29487085342407227
THOI	GC-gpu	1000	15	900000	10	0.28492045402526855
THOI	GC-gpu	1000	15	900000	11	0.2559394836425781
