library	estimator	T	N	batch_size	order	time
THOI	GC	1000	30	300000	3	0.3333547115325928
THOI	GC	1000	30	300000	4	0.5983965396881104
THOI	GC	1000	30	300000	5	2.654118299484253
THOI	GC	1000	30	300000	6	10.29880428314209
THOI	GC	1000	30	300000	7	34.27569127082825
THOI	GC	1000	30	300000	8	98.73468351364136
THOI	GC	1000	30	300000	9	247.8381016254425
THOI	GC	1000	30	300000	10	542.6561303138733
THOI	GC	1000	30	300000	11	1045.7541182041168
THOI	GC	1000	30	300000	12	1848.9812366962433
THOI	GC	1000	30	300000	13	2768.227313518524
THOI	GC	1000	30	300000	14	3363.4698786735535
