n-plet	method	alpha	beta	O-information
X1-X2-Z_syn	JDIT	0.01	0.01	-2.254003507757443
X1-X2-Z_syn-Z_red	JDIT	0.01	0.01	0.7605453548035651
X1-X2-Z_syn	JDIT	0.01	0.02	-1.8476845110506548
X1-X2-Z_syn-Z_red	JDIT	0.01	0.02	1.3088618818679751
X1-X2-Z_syn	JDIT	0.01	0.03	-1.5323564484338161
X1-X2-Z_syn-Z_red	JDIT	0.01	0.03	1.6778294859508844
X1-X2-Z_syn	JDIT	0.01	0.04	-1.293755746858976
X1-X2-Z_syn-Z_red	JDIT	0.01	0.04	1.9484287358534935
X1-X2-Z_syn	JDIT	0.01	0.05	-1.1075851427375711
X1-X2-Z_syn-Z_red	JDIT	0.01	0.05	2.1561770507799585
X1-X2-Z_syn	JDIT	0.01	0.06	-0.9564025418836583
X1-X2-Z_syn-Z_red	JDIT	0.01	0.06	2.3302340015770198
X1-X2-Z_syn	JDIT	0.01	0.07	-0.8363386371524453
X1-X2-Z_syn-Z_red	JDIT	0.01	0.07	2.4703692133226034
X1-X2-Z_syn	JDIT	0.01	0.08	-0.7378140293401929
X1-X2-Z_syn-Z_red	JDIT	0.01	0.08	2.591120336349271
X1-X2-Z_syn	JDIT	0.01	0.09	-0.6490376867185333
X1-X2-Z_syn-Z_red	JDIT	0.01	0.09	2.7022254675650466
X1-X2-Z_syn	JDIT	0.01	0.1	-0.5757963421560688
X1-X2-Z_syn-Z_red	JDIT	0.01	0.1	2.799237649438287
X1-X2-Z_syn	JDIT	0.01	0.2	-0.2113224575295118
X1-X2-Z_syn-Z_red	JDIT	0.01	0.2	3.413353850878083
X1-X2-Z_syn	JDIT	0.01	0.3	-0.08591926972129937
X1-X2-Z_syn-Z_red	JDIT	0.01	0.3	3.676861168096636
X1-X2-Z_syn	JDIT	0.01	0.4	-0.028322171331404973
X1-X2-Z_syn-Z_red	JDIT	0.01	0.4	3.799355268885523
X1-X2-Z_syn	JDIT	0.01	0.5	0.004374585610588006
X1-X2-Z_syn-Z_red	JDIT	0.01	0.5	3.8667208420573074
X1-X2-Z_syn	JDIT	0.01	0.6	0.023345991246421404
X1-X2-Z_syn-Z_red	JDIT	0.01	0.6	3.9066972263873914
X1-X2-Z_syn	JDIT	0.01	0.7	0.041490126533663955
X1-X2-Z_syn-Z_red	JDIT	0.01	0.7	3.941400342211506
X1-X2-Z_syn	JDIT	0.01	0.8	0.050412944276470306
X1-X2-Z_syn-Z_red	JDIT	0.01	0.8	3.9599258959560246
X1-X2-Z_syn	JDIT	0.01	0.9	0.059770889147005
X1-X2-Z_syn-Z_red	JDIT	0.01	0.9	3.9773187728219854
X1-X2-Z_syn	JDIT	0.01	0.91	0.06147457557899059
X1-X2-Z_syn-Z_red	JDIT	0.01	0.91	3.9810428567866403
X1-X2-Z_syn	JDIT	0.01	0.92	0.05862237095007126
X1-X2-Z_syn-Z_red	JDIT	0.01	0.92	3.9760030996762135
X1-X2-Z_syn	JDIT	0.01	0.93	0.05908430296740702
X1-X2-Z_syn-Z_red	JDIT	0.01	0.93	3.9776020947005706
X1-X2-Z_syn	JDIT	0.01	0.94	0.06207416131603386
X1-X2-Z_syn-Z_red	JDIT	0.01	0.94	3.98227000517874
X1-X2-Z_syn	JDIT	0.01	0.95	0.061803011131133866
X1-X2-Z_syn-Z_red	JDIT	0.01	0.95	3.982397351194763
X1-X2-Z_syn	JDIT	0.01	0.96	0.0635390059100223
X1-X2-Z_syn-Z_red	JDIT	0.01	0.96	3.985162216464862
